variable,label,,values,2007,2008,2009,2010,2011,2012,2014,2016
id,Questionnaire number,,,x01,x01,x01,x01,x01,x01,x01,x01
year,Survey year,,,x02,x02,x02,x02,x02,x02,x02,x02
gender,What is your gender,1,Male,a01,a01,a01,a01,a01,a01,a01,a01
,,2,Female,,,,,,,,
birth_year,In which year were you born? _______ R.O.C. year?,,,a02,a02,a02,a02,a02,a02,a02,a02
happiness,"Do you feel happy recently? (Please choose , 1 indicates very unahpy and 7 indic",1, very unhappy,a03a,a03a,a03a,a03a,a03a,a03a,a03a,a03a
,,7,very happy,,,,,,,,
,,99,Missing,,,,,,,,
good_life," How was life in the past year, good or bad? (Please choose, 1 indicated very ba",1,very bad,a03b,a03b,a03b,a03b,a03b,a03b,a03b,a03b
,,7,very good,,,,,,,,
,,99,Missing,,,,,,,,
edu,Respondent's education level,,,,,a03c,a03c,a03c,a03c,a03c,a03c
,,1,None,,,,,,,,
,,2,Self-educated,,,,,,,,
,,3,Elementary School,,,,,,,,
,,4,Junior High School,,,,,,,,
,,5,Junior Vocational School,,,,,,,,
,,6,Senior High School (General track),,,,,,,,
,,7,Senior High School (Vocational Track),,,,,,,,
,,8,Vocational High School,,,,,,,,
,,9,Junior College (5 years),,,,,,,,
,,10,Junior College (2 years),,,,,,,,
,,11,Junior College (3 years),,,,,,,,
,,12,Technical College,,,,,,,,
,,13,University or College,,,,,,,,
,,14,Master Degree,,,,,,,,
,,15,Doctoral Degree,,,,,,,,
,,96,Don¡¦t knows,,,,,,,,
,,97,Others,,,,,,,,
,,98,Refuse to answer,,,,,,,,
health,How is your current health condition?,1,Very good,a04a,a04a,a04a,a04a,a04a,a04a,a04a,a04a
,,2,Good,,,,,,,,
,,3,Fair,,,,,,,,
,,4,Bad,,,,,,,,
,,5,Very bad ,,,,,,,,
health_compared,How is your current health condition compared with last year??,1,much better,a04b,a04b,a04b,a04b,a04b,a04b,a04b,a04b
,,2,better,,,,,,,,
,,3,the same,,,,,,,,
,,4,a bit worse,,,,,,,,
,,5,much worse ,,,,,,,,
injury,Do you have any physical discomfort or injury that limits your daily activities ,0,Skip,a04c,a04c,a04c,a04c,a04c,a04c,a04c,a04c
,,1,Yes,,,,,,,,
,,2,No,,,,,,,,
,,9,Missing,,,,,,,,
employed,Do you have a job now?,0, Skip,a05,a05,a05,a05,a05,a05,a05,a6a01
,,1,Yes,,,,,,,,
,,2,No,,,,,,,,
work_forwhom,For whom do you work?,0, Skip ,a08b,a08b,a08b,a08b,a08b,a08b,a08b,"a06, a07"
,,1,Self-employed without employees,,,,,,,,
,,2,Self-employed with employees,,,,,,,,
,,3,Employed by an privat company,,,,,,,,
,,4,Employed by a public enterprise,,,,,,,,
,,5,Working for family business with regular salary,,,,,,,,
,,6,Government employee,,,,,,,,
,,7,Employee of a non-profit organization,,,,,,,,
,,8,Working for family business without salary,,,,,,,,
,,9,Own the business jointly with others without employees,,,,,,,,
,,97,Others,,,,,,,,
,,99,Missing,,,,,,,,
